seed,gate,vs,stat,value,p,high_mean,low_mean
42,gate_t_tech_uses_fund,VIX_Close,spearman_rho,0.05061644367109681,2.5330010133013546e-86,,
42,gate_t_tech_uses_fund,VIX_median_split,mean_diff,0.0025814175605773926,4.648434154639848e-40,0.4609368145465851,0.4583553969860077
42,gate_t_tech_uses_fund,year_2022,mean,0.46114063262939453,,,
42,gate_t_tech_uses_fund,year_2023,mean,0.46005576848983765,,,
42,gate_t_tech_uses_fund,year_2024,mean,0.45753687620162964,,,
42,gate_f_fund_uses_tech,VIX_Close,spearman_rho,0.007807631335446901,0.002400706254811368,,
42,gate_f_fund_uses_tech,VIX_median_split,mean_diff,-0.0036833882331848145,8.744361851564075e-27,0.5950538516044617,0.5987372398376465
42,gate_f_fund_uses_tech,year_2022,mean,0.5958142280578613,,,
42,gate_f_fund_uses_tech,year_2023,mean,0.5977482795715332,,,
42,gate_f_fund_uses_tech,year_2024,mean,0.5971233248710632,,,
43,gate_t_tech_uses_fund,VIX_Close,spearman_rho,-0.04807927831531368,4.6263490979340535e-78,,
43,gate_t_tech_uses_fund,VIX_median_split,mean_diff,-0.00270998477935791,1.0591852845766399e-52,0.48042550683021545,0.48313549160957336
43,gate_t_tech_uses_fund,year_2022,mean,0.4787609279155731,,,
43,gate_t_tech_uses_fund,year_2023,mean,0.48390161991119385,,,
43,gate_t_tech_uses_fund,year_2024,mean,0.48268356919288635,,,
43,gate_f_fund_uses_tech,VIX_Close,spearman_rho,0.07629074079948564,6.72594348463686e-194,,
43,gate_f_fund_uses_tech,VIX_median_split,mean_diff,0.002083897590637207,1.4388803046802357e-53,0.6725893020629883,0.6705054044723511
43,gate_f_fund_uses_tech,year_2022,mean,0.674160361289978,,,
43,gate_f_fund_uses_tech,year_2023,mean,0.6710453629493713,,,
43,gate_f_fund_uses_tech,year_2024,mean,0.6692522764205933,,,
44,gate_t_tech_uses_fund,VIX_Close,spearman_rho,0.051180088289122454,3.240613945768861e-88,,
44,gate_t_tech_uses_fund,VIX_median_split,mean_diff,0.004234284162521362,5.1596717658402485e-76,0.4957498610019684,0.491515576839447
44,gate_t_tech_uses_fund,year_2022,mean,0.4966159760951996,,,
44,gate_t_tech_uses_fund,year_2023,mean,0.49340227246284485,,,
44,gate_t_tech_uses_fund,year_2024,mean,0.4906163811683655,,,
44,gate_f_fund_uses_tech,VIX_Close,spearman_rho,0.1357761556559791,0.0,,
44,gate_f_fund_uses_tech,VIX_median_split,mean_diff,0.014924108982086182,0.0,0.6451387405395508,0.6302146315574646
44,gate_f_fund_uses_tech,year_2022,mean,0.6527472734451294,,,
44,gate_f_fund_uses_tech,year_2023,mean,0.6292404532432556,,,
44,gate_f_fund_uses_tech,year_2024,mean,0.630721926689148,,,
